OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS
6156,2020,CA,CDF,AEU,15.04704475,100262.785917325,1752.94982842127,10509,Jan 31 2020 Broadcast,3,2020/01/31 00:00:00+00,2020/01/31 00:00:00+00,15,,,
6157,2020,CA,PVT,AEU,36.73971558,245805.55884789,3448.15581028662,10572,2020 Fuels Reduction,3,2020/02/13 00:00:00+00,2020/02/13 00:00:00+00,22.3,,,
6158,2020,CA,CDF,AEU,38.83984756,257040.1179356,5011.39959329153,10630,Feb 2020 Broadcast,3,2020/02/13 00:00:00+00,2020/02/18 00:00:00+00,22.4,,,
6159,2020,CA,CDF,AEU,75.50246429,503008.879054095,5028.25497857148,10639,Feb 2020 Broadcast,3,2020/02/11 00:00:00+00,2020/02/20 00:00:00+00,75.5,,,
6160,2020,CA,CDF,AEU,61.77360916,411511.354713,3552.70672130458,10780,Mar 3 2020 Broadcast,3,2020/03/03 00:00:00+00,2020/03/03 00:00:00+00,61.8,,,
6161,2020,CA,CDF,AEU,16.47665024,109035.508613985,1857.13993617549,10782,March 5 2020 Broadcast,3,2020/03/05 00:00:00+00,2020/03/05 00:00:00+00,16.5,,,
6162,2020,CA,CDF,AEU,4.14154863,27314.38901421,1040.19909714758,11060,2020 Fuels Reduction,3,2020/06/09 00:00:00+00,2020/06/09 00:00:00+00,4.1,,,
6163,2020,CA,CDF,AEU,65.79993439,435435.310784565,4014.34064893905,11110,"June 24, 2020 Broadcast",3,2020/06/24 00:00:00+00,2020/06/24 00:00:00+00,65.8,,,
6164,2020,CA,CDF,AEU,30.54381561,204168.90886507,3640.14125664038,11111,"June 16, 2020 Broadcast",3,2020/06/16 00:00:00+00,2020/06/16 00:00:00+00,30.5,,,
6165,2020,CA,CDF,AEU,240.16151428,1586669.74059777,10728.4321687029,11112,"June 10-12, 2020 Broadcast",3,2020/06/10 00:00:00+00,2020/06/12 00:00:00+00,240.2,,,
6166,2020,CA,CDF,AEU,3.18077564,21029.65436452,684.235334469002,11113,"May 11, 2020 Broadcast",3,2020/05/11 00:00:00+00,2020/05/11 00:00:00+00,3.2,,,
6167,2020,CA,CDF,AEU,53.21412277,355632.26485425,6413.66547949198,11198,July 2 2020 Broadcast,3,2020/07/02 00:00:00+00,2020/07/02 00:00:00+00,53.2,,,
6168,2020,CA,CDF,AEU,32.56667709,215086.28756493,2108.70601448855,11200,July 15 2020 Broadcast,3,2020/07/15 00:00:00+00,2020/07/15 00:00:00+00,32.6,,,
6169,2020,CA,CDF,AEU,22.64056587,149274.825253405,2088.46419394311,11231,"August 14, 2020 Broadcast",3,2020/08/14 00:00:00+00,2020/08/14 00:00:00+00,22.6,,,
6170,2020,CA,CDF,AEU,23.6991787,156164.498543625,2358.73102889767,11373,"Nov 17, 2020 Broadcast",3,2020/11/17 00:00:00+00,2020/11/17 00:00:00+00,23.7,,,
6171,2020,CA,CDF,AEU,47.79224396,316285.955352125,2469.30673739299,11504,Dec 11 2020 Broadcast,3,2020/12/11 00:00:00+00,2020/12/11 00:00:00+00,47.8,,,
6172,2020,CA,OTH,BEU,220.37265015,1367294.87930377,18678.0138545466,10949,Northern Boundary Burn,3,2020/05/26 00:00:00+00,2020/05/29 00:00:00+00,220,,,
6173,2020,CA,OTH,BEU,360.06033325,2229050.52749099,6733.97585866355,11066,Hay Camp Burn,3,2020/06/06 00:00:00+00,2020/06/06 00:00:00+00,360,,,
6174,2020,CA,OTH,BEU,626.25549316,3877774.73750436,11340.3959987199,11067,Man Field Burn,3,2020/06/05 00:00:00+00,2020/06/14 00:00:00+00,626,,,
6175,2020,CA,CDF,BTU,12.28225994,84444.494945255,1274.73131362586,10651,BFC Rx Burn,3,2020/01/26 00:00:00+00,2020/02/25 00:00:00+00,12.3,,,
6176,2020,CA,OTH,BTU,43.41423035,295243.37020891,2442.45165961227,10916,2020 Rabe Rx Burn,3,2020/05/27 00:00:00+00,2020/05/27 00:00:00+00,43.4,,,
6177,2020,CA,CDF,BTU,157.91101074,1074400.54306445,18454.7288349627,10922,Oroville Airport 2020 Rx Burn,3,2020/05/26 00:00:00+00,2020/05/26 00:00:00+00,157.9,,,
6178,2020,CA,CDF,BTU,68.44946289,470695.33950463,3172.0137933353,11395,Chico ECCO DEC 2020 Rx,3,2020/12/09 00:00:00+00,2020/12/11 00:00:00+00,68.4,,,
6179,2020,CA,CDF,CZU,14.34791756,91374.28035893,1320.06524210558,10575,Santa Rosalita Broadcast Burn,3,2020/02/19 00:00:00+00,2020/02/19 00:00:00+00,14.3,,,
6180,2020,CA,CDF,CZU,23.9950161,153005.86196979,2785.67197236903,10629,2020 Broadcast Burn,3,2020/02/27 00:00:00+00,2020/02/27 00:00:00+00,24,,,
6181,2020,CA,CDF,CZU,9.90121841,63171.221561005,1342.29045398382,11084,2020 Broadcast Burn,3,2020/06/24 00:00:00+00,2020/06/24 00:00:00+00,9.9,,,
6184,2020,CA,FWS,FKU,25.37706566,160034.997037515,2039.13462970756,11093,2020_Broadcast Burn,3,2020/06/03 00:00:00+00,2020/06/03 00:00:00+00,25.4,,,
6185,2020,CA,CDF,FKU,73.03621674,466275.436870185,5185.36060695053,11167,2020 BURN,3,2020/02/12 00:00:00+00,2020/02/14 00:00:00+00,70,,,
6186,2020,CA,PVT,HUU,25.52188492,181637.14308496,3498.19241125197,10669,HUU Rx 2020,3,2020/12/11 00:00:00+00,2020/12/11 00:00:00+00,25,,,
6187,2020,CA,OTH,HUU,306.24755859,2197789.21606725,16527.286320486,11097,2020 MKWC,3,2020/06/22 00:00:00+00,2020/06/22 00:00:00+00,33,,,
6188,2020,CA,PVT,HUU,306.24755859,2197789.21606725,16527.286320486,11097,2020 MKWC,3,2020/02/10 00:00:00+00,2020/11/19 00:00:00+00,122,,,
6189,2020,CA,CSP,HUU,220.09004211,1560805.55482785,8934.67819720242,11308,2020 Rx Burns,3,2020/10/29 00:00:00+00,2020/11/02 00:00:00+00,220,,,
6190,2020,CA,CDF,HUU,208.35299683,1466051.00788113,5820.12670659336,11391,Lone Star 2020 Units 1-3,3,2020/12/04 00:00:00+00,2020/12/04 00:00:00+00,208,,,
